disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2005-0591-CAN,Canada,2005,9.0,27.0,2005,9.0,29.0,Natural,Hydrological,Flood,Riverine flood,600.0,0.0
2005-0728-CAN,Canada,2005,6.0,7.0,2005,7.0,1.0,Natural,Hydrological,Flood,Riverine flood,5000.0,4.0
2005-0764-CAN,Canada,2005,11.0,30.0,2005,12.0,1.0,Technological,Technological,Miscellaneous accident,Other,506.0,0.0
2005-0780-CAN,Canada,2005,5.0,8.0,2005,5.0,8.0,Technological,Technological,Miscellaneous accident,Other,155.0,0.0
2005-0553-CAN,Canada,2005,9.0,26.0,2005,9.0,29.0,Natural,Meteorological,Storm,None,300.0,0.0
2006-0224-CAN,Canada,2006,4.0,22.0,2006,5.0,31.0,Natural,Hydrological,Flood,Riverine flood,2000.0,0.0
2006-0203-CAN,Canada,2006,4.0,18.0,2006,4.0,24.0,Natural,Hydrological,Flood,Riverine flood,200.0,0.0
2006-0206-CAN,Canada,2006,4.0,12.0,2006,4.0,20.0,Natural,Hydrological,Flood,Riverine flood,1000.0,0.0
2006-0261-CAN,Canada,2006,5.0,26.0,2006,6.0,2.0,Natural,Hydrological,Flood,Riverine flood,300.0,0.0
2006-0269-CAN,Canada,2006,5.0,20.0,2006,5.0,28.0,Natural,Hydrological,Flood,Riverine flood,400.0,1.0
2007-0066-CAN,Canada,2007,2.0,14.0,2007,2.0,15.0,Natural,Meteorological,Storm,Convective storm,2.0,2.0
2007-0165-CAN,Canada,2007,6.0,6.0,2007,6.0,11.0,Natural,Hydrological,Flood,Riverine flood,500.0,0.0
2007-0621-CAN,Canada,2007,12.0,23.0,2007,12.0,26.0,Natural,Meteorological,Storm,None,4.0,4.0
2008-0264-CAN,Canada,2008,4.0,26.0,2008,5.0,1.0,Natural,Hydrological,Flood,Riverine flood,2000.0,0.0
2008-0170-CAN,Canada,2008,4.0,10.0,2008,4.0,24.0,Natural,Hydrological,Flood,Riverine flood,400.0,0.0
