Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0409-IND,2005,409,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces",Monsoon rain,"Slide (land, mud, snow, rock)",Broken Dam/Burst bank,Yes,,,12.0,35550.0,Km2,,,,"Ghawanda, Koyna, Kal, Savitira, Karad, Pawana, Mithi, Mitha and Mula",2005,7.0,24.0,2005,8.0,5.0,1200.0,55.0,20000000.0,,20000055.0,,,844000.0,1118515.0,3330000.0,4413098.0,75.45719958,1,1490;1491;1493;1494;1498;1504;40408;40409;40422;40423;40424;40425;40426;40427;40428;40429;40430;40431;70079,,"Goa, Gujarat, Himachal Pradesh, Jammu and Kashmir (Administrative unit not available), Karnataka, Madhya Pradesh, Maharashtra, Orissa (Adm1)."
2005-0504-IND,2005,504,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Karnataka, Andhra Pradesh provinces",Monsoonal rain,Broken Dam/Burst bank,,,,,,619200.0,Km2,,,,Krishna and Godavari and tributaries,2005,7.0,23.0,2005,8.0,16.0,126.0,,100000.0,,100000.0,,,,,,,75.45719958,1,1485;1494,,"Andhra Pradesh, Karnataka (Adm1)."
2005-0603-IND,2005,603,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Surat, Vadodara, Bhavnagar, Panch Mahals, Narmada districts (Gujarat province)",Heavy rains,Broken Dam/Burst bank,,,,,,53200.0,Km2,,,,"Vishwamitri, Tapi",2005,9.0,22.0,2005,10.0,11.0,15.0,,,,,,,,,,,75.45719958,2,,17639;17649;17652;70126;70128,"Bhavnagar, Narmada, Panch Mahals, Surat, Vadodara (Adm2)."
2005-0335-IND,2005,335,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",Heavy rains,,,,,,,,Km2,,,,"Vishwamitry, Purnea, Auranga, Wanki, Ambika, Kaveri, Kharera",2005,6.0,28.0,2005,7.0,15.0,239.0,,405000.0,,405000.0,,,156000.0,206740.0,2300000.0,3048086.0,75.45719958,2,,17635;17636;17638;17639;17640;17641;17642;17644;17647;17648;17649;17650;17651;17652;17653;70124;70126;70127,"Ahmadabad, Amreli, Anand, Bharuch, Bhavnagar, Gandhinagar, Jamnagar, Junagadh, Kheda, Narmada, Navsari, Rajkot, Sabar Kantha, Surat, Surendranagar, The Dangs, Vadodara, Valsad (Adm2)."
2005-0627-IND,2005,627,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Salem, Namakkal, Karur, Erode, Tiruchchirappalli, Vellore, Perambalur, Nagapattinam, Kanniyakumari, Dharmapuri, Madurai, Villupuram, Chennai, Cuddalore districts (Tamil Nadu province), Karaikal district (Puducherry province), Bangalore Rural, Bangalore Urban, Mysore districts (Karnataka province), Nellore, Chittoor, Vishakhapatnam, Srikakulam, Vizianagaram, Cuddapah districts (Andhra Pradesh province), West Bengal, Orissa provinces",Monsoonal rain,,,,,,,131300.0,Km2,,,,"Cauvery, Coleroon, Palar, Pennar, Papaghni, Nagavali, Vamsadhara, Bhavani",2005,10.0,23.0,2005,11.0,13.0,162.0,,2000000.0,,2000000.0,,,,,,,75.45719958,1;2,1504;1511,17549;17550;17561;17565;17566;17567;17692;17868;17870;17875;17879;17883;70158;70159;70226;70242;70243;70245;70246;70247;70248;70249;70254;70255,"Orissa, West Bengal (Adm1). Bangalore Rural, Bangalore Urban, Chennai, Chittoor, Cuddalore, Cuddapah, Dharmapuri, Erode, Kanniyakumari, Karaikal, Karur, Madurai, Mysore, Nagapattinam, Namakkal, Nellore, Perambalur, Salem, Srikakulam, Tiruchchirappalli, Vellore, Villupuram, Vishakhapatnam, Vizianagaram (Adm2)."
2005-0746-IND,2005,746,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Himachal Pradesh, Punjab, Jammu and Kashmir, Haryana provinces",Mosnoon rain,,,,,,,,Km2,,,,"Chenab, Ravi, Beas, Pabbar, Tawi, Ujh",2005,7.0,5.0,2005,8.0,14.0,10.0,,2000.0,,2000.0,,,,,,,75.45719958,1,1492;1493;1505;40422;40423;40424;40425;40426;40427;40428;40429;40430;40431,,"Haryana, Himachal Pradesh, Jammu and Kashmir (Administrative unit not available), Punjab (Adm1)."
2005-0701-IND,2005,701,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,India,IND,Southern Asia,Asia,"Uttar Pradesh, Punjab, Haryana, Himachal Pradesh, Delhi, Bihar, Rajasthan, Jammu and Kashmir provinces",,,,,,,,2.0,°C,,,,,2005,12.0,,2006,1.0,,180.0,,,,,,,,,,,75.45719958,1,1489;1492;1493;1505;1506;40408;40409;40422;40423;40424;40425;40426;40427;40428;40429;40430;40431;70073;70081,,"Bihar, Delhi, Haryana, Himachal Pradesh, Jammu and Kashmir (Administrative unit not available), Punjab, Rajasthan, Uttar Pradesh (Adm1)."
2005-0268-IND,2005,268,,Natural,Biological,Epidemic,Bacterial disease,,Meningococcal disease,India,IND,Southern Asia,Asia,"Delhi, Haryana, Chandigarh, Uttar Pradesh, Uttaranchal",,,,,No,No,,12000.0,Vaccinated,,,,,2005,5.0,18.0,2005,6.0,21.0,48.0,,405.0,,405.0,,,,,,,75.45719958,,,,
2005-0479-IND,2005,479,,Natural,Biological,Epidemic,Viral disease,,Japanese encephalitis,India,IND,Southern Asia,Asia,"Uttar Pradesh, Bihar",,,,,No,No,,300000.0,Vaccinated,,,,,2005,7.0,29.0,2005,9.0,13.0,296.0,,939.0,,939.0,,,,,,,75.45719958,,,,
2005-0631-IND,2005,631,,Natural,Biological,Epidemic,Viral disease,,Japanese encephalitis,India,IND,Southern Asia,Asia,Uttar Pradesh and Bihar states,,,,,No,No,,,Vaccinated,,,,,2005,7.0,1.0,2005,11.0,10.0,296.0,,1145.0,,1145.0,,,,,,,75.45719958,,,,
