disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2005-0591-CAN,Canada,2005,9,27,2005,9,29,Natural,Hydrological,Flood,Riverine flood,600,
2005-0728-CAN,Canada,2005,6,7,2005,7,1,Natural,Hydrological,Flood,Riverine flood,5000,4
2005-0383-CAN,Canada,2005,7,,2005,7,,Natural,Climatological,Wildfire,Forest fire,,
2005-0460-CAN,Canada,2005,8,,2005,8,,Natural,Climatological,Wildfire,Forest fire,,
2005-0764-CAN,Canada,2005,11,30,2005,12,1,Technological,Technological,Miscellaneous accident,Other,506,
2005-0780-CAN,Canada,2005,5,8,2005,5,8,Technological,Technological,Miscellaneous accident,Other,155,
2005-0553-CAN,Canada,2005,9,26,2005,9,29,Natural,Meteorological,Storm,,300,
2006-0224-CAN,Canada,2006,4,22,2006,5,31,Natural,Hydrological,Flood,Riverine flood,2000,
2006-0203-CAN,Canada,2006,4,18,2006,4,24,Natural,Hydrological,Flood,Riverine flood,200,
2006-0206-CAN,Canada,2006,4,12,2006,4,20,Natural,Hydrological,Flood,Riverine flood,1000,
2006-0261-CAN,Canada,2006,5,26,2006,6,2,Natural,Hydrological,Flood,Riverine flood,300,
2006-0269-CAN,Canada,2006,5,20,2006,5,28,Natural,Hydrological,Flood,Riverine flood,400,1
2007-0066-CAN,Canada,2007,2,14,2007,2,15,Natural,Meteorological,Storm,Convective storm,,2
2007-0165-CAN,Canada,2007,6,6,2007,6,11,Natural,Hydrological,Flood,Riverine flood,500,
2007-0621-CAN,Canada,2007,12,23,2007,12,26,Natural,Meteorological,Storm,,,4
2008-0264-CAN,Canada,2008,4,26,2008,5,1,Natural,Hydrological,Flood,Riverine flood,2000,
2008-0170-CAN,Canada,2008,4,10,2008,4,24,Natural,Hydrological,Flood,Riverine flood,400,
2008-0606-CAN,Canada,2008,8,10,2008,8,10,Technological,Technological,Industrial accident,Explosion,12518,2
2009-0099-CAN,Canada,2009,3,12,2009,3,12,Technological,Technological,Transport accident,Air,1,16
2009-0619-CAN,Canada,2009,8,1,2009,8,3,Natural,Meteorological,Storm,Convective storm,,2
2009-0189-CAN,Canada,2009,4,1,2009,4,9,Natural,Hydrological,Flood,Riverine flood,200,
2009-0342-CAN,Canada,2009,8,23,2009,8,23,Natural,Meteorological,Storm,Tropical cyclone,3,
2010-0655-CAN,Canada,2010,12,26,2010,12,28,Natural,Meteorological,Storm,Convective storm,,
2011-0131-CAN,Canada,2011,4,4,2011,5,31,Natural,Hydrological,Flood,Riverine flood,2000,5
2011-0328-CAN,Canada,2011,8,28,2011,8,29,Natural,Meteorological,Storm,Tropical cyclone,,1
2011-0323-CAN,Canada,2011,8,21,2011,8,24,Natural,Meteorological,Storm,Convective storm,20,1
2011-0630-CAN,Canada,2011,5,14,2011,5,16,Natural,Climatological,Wildfire,Forest fire,7000,1
2011-0321-CAN,Canada,2011,8,20,2011,8,20,Technological,Technological,Transport accident,Air,3,12
2012-0493-CAN,Canada,2012,12,24,2012,12,27,Natural,Meteorological,Storm,Convective storm,,
2012-0626-CAN,Canada,2012,8,12,2012,8,12,Natural,Meteorological,Storm,Convective storm,,
2012-0068-CAN,Canada,2012,3,25,2012,3,30,Natural,Hydrological,Flood,Riverine flood,1500,
2012-0036-CAN,Canada,2012,2,6,2012,2,6,Technological,Technological,Transport accident,Road,,11
2013-0528-CAN,Canada,2013,12,21,2013,12,22,Natural,Meteorological,Extreme temperature,Severe winter conditions,,10
2013-0190-CAN,Canada,2013,6,20,2013,6,27,Natural,Hydrological,Flood,Riverine flood,100000,4
2013-0171-CAN,Canada,2013,3,21,2013,3,21,Technological,Technological,Transport accident,Road,100,
2013-0240-CAN,Canada,2013,7,6,2013,7,6,Technological,Technological,Transport accident,Rail,2000,47
2013-0580-CAN,Canada,2013,7,8,2013,7,9,Natural,Meteorological,Storm,Convective storm,,
2014-0319-CAN,Canada,2014,8,4,2014,8,4,Natural,Hydrological,Flood,Flash flood,6904,
2014-0009-CAN,Canada,2014,1,1,2014,1,9,Natural,Meteorological,Extreme temperature,Cold wave,,
2014-0031-CAN,Canada,2014,1,23,2014,1,23,Technological,Technological,Miscellaneous accident,Fire,,32
2015-0275-CAN,Canada,2015,7,1,2015,7,10,Natural,Climatological,Wildfire,Forest fire,13036,
2016-0172-CAN,Canada,2016,5,1,2016,7,4,Natural,Climatological,Wildfire,Forest fire,88000,
2016-0243-CAN,Canada,2016,6,14,2016,6,21,Natural,Hydrological,Flood,,300,
2017-0271-CAN,Canada,2017,7,7,2017,9,15,Natural,Climatological,Wildfire,,43441,
2017-0126-CAN,Canada,2017,5,5,2017,5,20,Natural,Hydrological,Flood,,16113,2
2017-0471-CAN,Canada,2017,8,28,2017,8,29,Natural,Hydrological,Flood,,3000,
2018-0299-CAN,Canada,2018,7,,2018,8,,Natural,Climatological,Wildfire,Forest fire,3000,
2018-0366-CAN,Canada,2018,9,21,2018,9,21,Natural,Meteorological,Storm,Convective storm,930,
2018-0195-CAN,Canada,2018,6,29,2018,7,5,Natural,Meteorological,Extreme temperature,Heat wave,,70
2018-0110-CAN,Canada,2018,4,6,2018,4,6,Technological,Technological,Transport accident,Road,13,16
2018-0160-CAN,Canada,2018,5,10,2018,5,14,Natural,Hydrological,Flood,,4000,
2019-0171-CAN,Canada,2019,4,27,2019,5,5,Natural,Hydrological,Flood,,19500,1
2019-0532-CAN,Canada,2019,10,31,2019,11,2,Natural,Meteorological,Storm,Convective storm,,1
2020-0266-CAN,Canada,2020,6,13,2020,6,14,Natural,Meteorological,Storm,Convective storm,60000,
2020-0191-CAN,Canada,2020,4,26,2020,4,30,Natural,Hydrological,Flood,Riverine flood,12936,1
2005-0103-USA,United States of America (the),2005,2,17,2005,2,23,Natural,Hydrological,Flood,Riverine flood,150,9
2005-0015-USA,United States of America (the),2005,1,7,2005,1,11,Natural,Hydrological,Flood,Riverine flood,508,28
2005-0029-USA,United States of America (the),2005,1,22,2005,1,24,Natural,Meteorological,Storm,Convective storm,,20
2005-0009-USA,United States of America (the),2005,1,7,2005,1,7,Technological,Technological,Transport accident,Rail,950,9
2005-0052-USA,United States of America (the),2005,1,26,2005,1,26,Technological,Technological,Transport accident,Rail,180,11
2005-0148-USA,United States of America (the),2005,3,23,2005,3,23,Technological,Technological,Industrial accident,Explosion,170,15
2005-0467-USA,United States of America (the),2005,8,29,2005,9,19,Natural,Meteorological,Storm,Tropical cyclone,500000,1833
2005-0716-USA,United States of America (the),2005,12,31,2006,1,18,Natural,Hydrological,Flood,Riverine flood,3600,3
2005-0585-USA,United States of America (the),2005,10,24,2005,10,24,Natural,Meteorological,Storm,Tropical cyclone,30000,4
2005-0286-USA,United States of America (the),2005,5,6,2005,5,8,Natural,Hydrological,Flood,Flash flood,,
2005-0583-USA,United States of America (the),2005,10,8,2005,10,16,Natural,Hydrological,Flood,Riverine flood,3000,11
2005-0219-USA,United States of America (the),2005,4,6,2005,4,8,Natural,Meteorological,Storm,Convective storm,104,
2005-0547-USA,United States of America (the),2005,9,23,2005,10,1,Natural,Meteorological,Storm,Tropical cyclone,300000,10
2005-0530-USA,United States of America (the),2005,8,18,2005,8,18,Natural,Meteorological,Storm,Convective storm,201,
2005-0682-USA,United States of America (the),2005,12,8,2005,12,9,Natural,Meteorological,Storm,Convective storm,,10
2005-0203-USA,United States of America (the),2005,4,1,2005,4,6,Natural,Hydrological,Flood,Riverine flood,11000,2
2005-0351-USA,United States of America (the),2005,7,10,2005,7,10,Natural,Meteorological,Storm,Tropical cyclone,,5
2005-0687-USA,United States of America (the),2005,7,4,2005,7,30,Natural,Meteorological,Extreme temperature,Heat wave,31,33
2005-0724-USA,United States of America (the),2005,12,27,2006,1,4,Natural,Climatological,Wildfire,Forest fire,1410,5
2005-0700-USA,United States of America (the),2005,12,19,2005,12,19,Technological,Technological,Transport accident,Air,,19
2005-0546-USA,United States of America (the),2005,9,23,2005,9,23,Technological,Technological,Transport accident,Road,17,24
2005-0562-USA,United States of America (the),2005,10,2,2005,10,2,Technological,Technological,Transport accident,Water,28,21
2006-0180-USA,United States of America (the),2006,4,4,2006,4,17,Natural,Hydrological,Flood,Riverine flood,600,1
2006-0182-USA,United States of America (the),2006,3,14,2006,3,23,Natural,Hydrological,Flood,Riverine flood,,7
2006-0704-USA,United States of America (the),2006,10,15,2006,10,15,Natural,Geophysical,Earthquake,Ground movement,3529,
2006-0341-USA,United States of America (the),2006,6,25,2006,7,1,Natural,Hydrological,Flood,Riverine flood,65000,11
2006-0161-USA,United States of America (the),2006,4,2,2006,4,3,Natural,Meteorological,Storm,Convective storm,3636,28
2006-0171-USA,United States of America (the),2006,4,6,2006,4,8,Natural,Meteorological,Storm,Convective storm,625,12
2006-0257-USA,United States of America (the),2006,5,1,2006,5,7,Natural,Meteorological,Storm,Convective storm,600,1
2006-0260-USA,United States of America (the),2006,5,11,2006,5,22,Natural,Hydrological,Flood,Riverine flood,2500,2
2006-0546-USA,United States of America (the),2006,9,22,2006,9,26,Natural,Hydrological,Flood,Riverine flood,1210,14
2006-0743-USA,United States of America (the),2006,11,30,2006,12,3,Natural,Meteorological,Storm,,,11
2006-0128-USA,United States of America (the),2006,3,11,2006,3,13,Natural,Meteorological,Storm,Convective storm,42,10
2006-0595-USA,United States of America (the),2006,11,15,2006,11,16,Natural,Meteorological,Storm,Convective storm,20,12
2006-0642-USA,United States of America (the),2006,10,12,2006,10,14,Natural,Meteorological,Storm,Convective storm,,3
2006-0466-USA,United States of America (the),2006,8,2,2006,9,7,Natural,Meteorological,Storm,Tropical cyclone,140,6
2006-0706-USA,United States of America (the),2006,12,25,2006,12,25,Natural,Meteorological,Storm,Convective storm,600,
2006-0707-USA,United States of America (the),2006,12,21,2006,12,21,Natural,Meteorological,Storm,Convective storm,,
2006-0718-USA,United States of America (the),2006,12,27,2006,12,31,Natural,Meteorological,Storm,Convective storm,,
2006-0344-USA,United States of America (the),2006,6,22,2006,6,25,Natural,Hydrological,Flood,Riverine flood,2400,2
2006-0413-USA,United States of America (the),2006,7,27,2006,8,7,Natural,Hydrological,Flood,Riverine flood,,
2006-0418-USA,United States of America (the),2006,7,27,2006,7,30,Natural,Hydrological,Flood,Riverine flood,600,1
2006-0461-USA,United States of America (the),2006,8,19,2006,8,24,Natural,Hydrological,Flood,Riverine flood,150,
2006-0566-USA,United States of America (the),2006,10,9,2006,10,14,Natural,Hydrological,Flood,Riverine flood,100,
2006-0598-USA,United States of America (the),2006,11,5,2006,11,10,Natural,Hydrological,Flood,Riverine flood,1500,2
2006-0387-USA,United States of America (the),2006,7,14,2006,8,15,Natural,Meteorological,Extreme temperature,Heat wave,,164
2006-0427-USA,United States of America (the),2006,7,30,2006,8,6,Natural,Meteorological,Extreme temperature,Heat wave,,24
2006-0576-USA,United States of America (the),2006,10,26,2006,10,27,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",103,4
2006-0662-USA,United States of America (the),2006,12,3,2006,12,6,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",15,
2006-0478-USA,United States of America (the),2006,8,27,2006,8,27,Technological,Technological,Transport accident,Air,1,49
2006-0399-USA,United States of America (the),2006,7,18,2006,7,18,Technological,Technological,Transport accident,Water,100,
2006-0005-USA,United States of America (the),2006,1,2,2006,1,2,Technological,Technological,Industrial accident,Explosion,7,13
2006-0637-USA,United States of America (the),2006,11,26,2006,11,27,Technological,Technological,Miscellaneous accident,Fire,19,10
2006-0374-USA,United States of America (the),2006,7,9,2006,7,14,Natural,Climatological,Wildfire,,167,1
2006-0744-USA,United States of America (the),2006,12,14,2006,12,15,Natural,Meteorological,Storm,,,10
2007-0026-USA,United States of America (the),2007,1,12,2007,1,17,Natural,Meteorological,Storm,,220,65
2007-0066-USA,United States of America (the),2007,2,14,2007,2,15,Natural,Meteorological,Storm,Convective storm,,16
2007-0048-USA,United States of America (the),2007,2,2,2007,2,2,Natural,Meteorological,Storm,Convective storm,6600,20
2007-0041-USA,United States of America (the),2007,1,15,2007,1,25,Natural,Hydrological,Flood,Riverine flood,,24
2007-0383-USA,United States of America (the),2007,8,16,2007,8,27,Natural,Hydrological,Flood,Riverine flood,2840,26
2007-0581-USA,United States of America (the),2007,12,3,2007,12,7,Natural,Meteorological,Storm,,1128,17
2007-0662-USA,United States of America (the),2007,5,4,2007,5,8,Natural,Meteorological,Storm,Convective storm,40,12
2007-0663-USA,United States of America (the),2007,4,13,2007,4,17,Natural,Meteorological,Storm,,,23
2007-0244-USA,United States of America (the),2007,6,26,2007,7,6,Natural,Hydrological,Flood,Riverine flood,5000,8
2007-0690-USA,United States of America (the),2007,5,21,2007,5,25,Natural,Meteorological,Storm,,,5
2007-0251-USA,United States of America (the),2007,6,19,2007,6,20,Natural,Hydrological,Flood,Flash flood,120,4
2007-0519-USA,United States of America (the),2007,10,21,2007,10,24,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",640064,8
2007-0689-USA,United States of America (the),2007,2,23,2007,2,25,Natural,Meteorological,Storm,,27,4
2007-0156-USA,United States of America (the),2007,4,24,2007,4,26,Natural,Meteorological,Storm,Convective storm,280,10
2007-0359-USA,United States of America (the),2007,8,16,2007,8,19,Natural,Meteorological,Storm,Tropical cyclone,,7
2007-0621-USA,United States of America (the),2007,12,23,2007,12,26,Natural,Meteorological,Storm,,,22
2007-0641-USA,United States of America (the),2007,12,9,2007,12,11,Natural,Meteorological,Storm,,2,24
2007-0083-USA,United States of America (the),2007,3,1,2007,3,2,Natural,Meteorological,Storm,Convective storm,20,20
2007-0173-USA,United States of America (the),2007,5,24,2007,5,29,Natural,Hydrological,Flood,Riverine flood,100,8
2007-0254-USA,United States of America (the),2007,6,17,2007,6,22,Natural,Hydrological,Flood,Riverine flood,750,10
2007-0351-USA,United States of America (the),2007,6,24,2007,7,2,Natural,Climatological,Wildfire,Forest fire,768,
2007-0579-USA,United States of America (the),2007,11,24,2007,11,27,Natural,Climatological,Wildfire,Forest fire,10159,
2007-0493-USA,United States of America (the),2007,10,7,2007,10,7,Technological,Technological,Transport accident,Air,,10
2007-0336-USA,United States of America (the),2007,8,2,2007,8,2,Technological,Technological,Miscellaneous accident,Collapse,60,29
2007-9548-USA,United States of America (the),2007,10,,2009,6,,Natural,Climatological,Drought,Drought,,
2007-0118-USA,United States of America (the),2007,3,7,2007,3,8,Technological,Technological,Miscellaneous accident,Fire,,10
2008-0010-USA,United States of America (the),2008,1,5,2008,1,9,Natural,Hydrological,Flood,Riverine flood,1500,2
2008-0210-USA,United States of America (the),2008,5,22,2008,5,26,Natural,Meteorological,Storm,Convective storm,70,7
2008-0194-USA,United States of America (the),2008,5,10,2008,5,12,Natural,Meteorological,Storm,Convective storm,150,22
2008-0039-USA,United States of America (the),2008,2,5,2008,2,6,Natural,Meteorological,Storm,Convective storm,150,59
2008-0115-USA,United States of America (the),2008,3,14,2008,3,14,Natural,Meteorological,Storm,Convective storm,177,2
