key,Country Name,Country Code,Year,Adults (ages 15+) living with HIV,Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Children (0-14) living with HIV,Children (ages 0-14) newly infected with HIV,Current health expenditure (% of GDP),Diabetes prevalence (% of population ages 20 to 79),"Hospital beds (per 1,000 people)","Number of surgical procedures (per 100,000 population)","Nurses and midwives (per 1,000 people)",Prevalence of overweight (% of adults),"Prevalence of overweight (modeled estimate, % of children under 5)",UHC service coverage index
793acf01-c35f-4869-aa5f-dd8ba6d877f5,Canada,CAN,2005,,,,,,,9.06438637,,3.1,,9.9467,58.6,9.9,81.0
76ded4e0-edc1-4801-b68c-5faa06194709,Canada,CAN,2006,,,,,,,9.34515572,,3.02,,10.0236,59.2,10.0,
b148037b-f0ee-41d8-8a8f-efce445c8e30,Canada,CAN,2007,,,,,,,9.43898201,,2.96,,10.1208,59.7,10.2,
00fa8413-8eb5-4d68-b291-e21e3d7f1158,Canada,CAN,2008,,,,,,,9.59853268,,2.85,,10.289,60.2,10.4,
3542ddec-86e7-48ab-8fc6-d7ec3173a470,Canada,CAN,2009,,,,,,,10.70911217,,2.8,,10.3743,60.7,10.6,
f7785d51-9822-4800-8eab-1e1d7092757d,Canada,CAN,2010,,,5.21486099636725,88.7360795967705,,,10.6837883,,2.78,,9.3233,61.2,10.8,84.0
f77d7d5b-364e-4b17-a7ae-2f9a87a6ee43,Canada,CAN,2011,,,,,,,10.33907032,8.4,2.8,,9.2368,61.7,11.0,
6f1e6e18-5eba-4d65-9481-896d1f71f018,Canada,CAN,2012,,,,,,,10.42859364,,2.79,,9.3473,62.2,11.2,
c0c89f52-6f36-4afe-82e8-b27104a5f16a,Canada,CAN,2013,,,,,,,10.34045982,,2.72,,9.4788,62.7,11.3,
10c0f750-5dd2-4139-ac7d-364744dbbc93,Canada,CAN,2014,,,,,,,10.25013065,,2.67,,9.7475,63.2,11.5,
e93f8902-b486-4a50-b73a-4be243fdfc37,Canada,CAN,2015,,,5.58540227423586,88.6363987933695,,,10.68328094,,2.62,,9.8188,63.7,11.6,89.0
27f5b07d-54fd-448a-b8cd-ab6305ae62d6,Canada,CAN,2016,,,,,,,10.97903442,,2.6,,9.9194,64.1,11.7,
5d3c9b25-d918-4a4f-ac72-9cfb6d059b66,Canada,CAN,2017,,,,,,,10.78964806,,2.53,,9.9491,,11.7,89.0
12b97e60-50f8-4f24-9ca2-ec5b0870e33e,Canada,CAN,2018,,,,,,,10.79046917,,2.55,,9.9874,,11.8,
6743d6f9-dd44-433d-9958-1c99a080a002,Canada,CAN,2019,,,4.77225226729925,89.8086329490656,,,,,2.52,,11.812,,11.8,89.0
6df7c60a-0cf1-4c24-9a47-5cba81e22b5d,Canada,CAN,2020,,,,,,,,,,,,,11.8,
ef66eb2d-f00f-491c-8eb5-7b58e2e555af,United States,USA,2005,,,,,,,14.60567665,,3.2,,9.9177,61.9,7.8,79.0
ef0aa4a1-cfbb-46b2-8133-02776d3593c3,United States,USA,2006,,,,,,,14.70215797,,3.18,,,62.5,7.8,
0b0e65ca-95ce-4f6d-bf4d-179fc9467f1d,United States,USA,2007,,,,,,,14.91858959,,3.14,,,63.1,7.9,
40783ef4-5e7f-4121-b399-9bed509adf5e,United States,USA,2008,,,,,,,15.28626251,,3.13,,,63.7,8.1,
13434f48-4630-4ec3-b714-8f4023c9098a,United States,USA,2009,,,,,,,16.28372383,,3.08,,,64.2,8.2,
1cec74e6-3d7c-4688-a5a1-62eab042d749,United States,USA,2010,960000.0,34000.0,5.69330817392815,88.1043193118658,,,16.34537888,,3.05,,12.5927,64.8,8.4,80.0
37556770-9050-4b6f-b4dc-c12188e7cd0d,United States,USA,2011,980000.0,33000.0,,,,,16.29982948,9.4,2.97,,,65.3,8.5,
7d55835f-3296-4b13-ac80-77a1c781b836,United States,USA,2012,1000000.0,33000.0,,,,,16.28528976,,2.93,,,65.8,8.6,
612542e0-4ae5-482c-a82c-3ba84c74db31,United States,USA,2013,1000000.0,31000.0,,,,,16.21042252,,2.89,,,66.4,8.6,
32403b63-31f1-4050-bc01-5893c64fd1d7,United States,USA,2014,1100000.0,32000.0,,,,,16.40644836,,2.83,,,66.9,8.7,
5e6894dc-d16e-4c30-a106-e3908d7ddd98,United States,USA,2015,1100000.0,32000.0,5.65120332746147,88.042831442106,,,16.71075249,,2.8,,,67.4,8.7,81.0
9c3fb7f8-0ef7-4f28-ba47-34f777284e3a,United States,USA,2016,1100000.0,32000.0,,,,,17.04898262,,2.77,,,67.9,8.8,
c8d20eb1-25ec-4403-aedd-bc4f65a016a5,United States,USA,2017,1100000.0,31000.0,,,,,17.00361443,,2.87,,14.5812,,8.8,82.0
ba42084a-aaa7-4a6a-9f54-787d8d4b4ab6,United States,USA,2018,1200000.0,30000.0,,,,,16.88529778,,,,15.685,,8.8,
76e58a13-8f1b-4ad3-83ec-4c2ba93d15ac,United States,USA,2019,1200000.0,29000.0,5.3020598009239,88.1449804799197,,,,,,,,,8.8,83.0
5318e65a-3a24-4d42-a61c-ac56630d05bf,United States,USA,2020,,,,,,,,,,,,,8.8,
a6e0b3a4-3543-4ddc-8eeb-3cd65d06f9ef,Mexico,MEX,2005,190000.0,14000.0,,,1900.0,500.0,5.83612156,,1.05,,2.2053,58.9,7.2,65.0
290f1343-6b5a-47b5-a0ac-9dc6b0b5b885,Mexico,MEX,2006,190000.0,14000.0,,,2200.0,700.0,5.65525532,,1.02,,2.2215,59.5,7.2,
84efad34-dbb7-44d3-8908-3715bdfb5bf1,Mexico,MEX,2007,200000.0,13000.0,,,2400.0,620.0,5.76644516,,1.06,,2.2832,60.1,7.1,
645f20a1-01ff-47d9-b693-4cf9fae83e00,Mexico,MEX,2008,210000.0,13000.0,,,2400.0,550.0,5.69886971,,1.03,,2.3066,60.6,7.0,
dea6f538-40e3-4c7d-aa85-3abab64b015a,Mexico,MEX,2009,220000.0,14000.0,,,2500.0,500.0,6.12978458,,1.02,,2.3624,61.2,7.0,
601960fa-ac57-483b-92b1-a1044b90e9d2,Mexico,MEX,2010,230000.0,14000.0,11.5781091734769,76.0637841319078,2500.0,500.0,5.97513008,,1.05,,2.4118,61.7,6.9,70.0
8db6807f-2dc2-4d5e-af29-352dab656839,Mexico,MEX,2011,240000.0,16000.0,,,2500.0,500.0,5.70114136,15.6,1.04,,2.5093,62.3,6.8,
a97a378b-aa25-4213-97bb-943ae638ffb2,Mexico,MEX,2012,250000.0,17000.0,,,2500.0,500.0,5.84224558,,1.03,,2.5488,62.8,6.7,
2ef20cff-cc8a-462c-9f6e-b277ddbcee0e,Mexico,MEX,2013,260000.0,18000.0,,,2500.0,500.0,5.9407773,,1.03,,2.8044,63.3,6.6,
6f818e94-54e3-4d2f-be80-bb0c1c910043,Mexico,MEX,2014,270000.0,17000.0,,,2400.0,500.0,5.63038635,,1.03,,2.6798,63.9,6.6,
0b8f09eb-c6f6-4b24-a265-b9d01350441c,Mexico,MEX,2015,280000.0,17000.0,10.0366534189482,79.8132340601764,2400.0,500.0,5.79708719,,1.0,1303.0,2.4177,64.4,6.5,73.0
7d316c30-15b3-4717-b9b6-954ade7acc88,Mexico,MEX,2016,290000.0,18000.0,,,2300.0,500.0,5.61569786,,1.0,,2.5103,64.9,6.4,
1852824f-ee4b-42ba-932d-87e6f7ef841f,Mexico,MEX,2017,300000.0,18000.0,,,2300.0,500.0,5.51889515,,0.99,,2.5078,,6.4,73.0
bdb56f7b-2273-4566-81a8-114f0f3664a3,Mexico,MEX,2018,320000.0,18000.0,,,2300.0,500.0,5.37147474,,0.98,,3.149,,6.4,
ed585149-37d5-49f6-8140-d83755c5cabc,Mexico,MEX,2019,330000.0,18000.0,9.0934368360701,80.4103092072542,2300.0,500.0,,,,,2.3646,,6.3,74.0
178ea576-d8ec-43bb-8450-3362d6c956e6,Mexico,MEX,2020,340000.0,18000.0,,,2300.0,500.0,,,,,,,6.3,
ac473d70-287f-400d-9ead-443c7ba3dd43,India,IND,2005,,,,,,,3.79116249,,0.41,,1.2907,14.2,3.0,33.0
c27212fe-9e3a-4d77-8f32-196bc7cb9987,India,IND,2006,,,,,,,3.63477802,,0.42,,,14.6,3.0,
f035b8ee-9ed3-40a5-af18-f0589e2113d9,India,IND,2007,,,,,,,3.51754212,,0.41,,,15.1,2.9,
b1308324-2898-4951-abd3-9464970d7f3e,India,IND,2008,,,,,,,3.51468062,,0.41,,,15.6,2.8,
ee312bda-152c-4ca9-86e1-d67aa122e737,India,IND,2009,,,,,,,3.48537874,,0.44,,,16.0,2.7,
473fb4cb-1508-462e-b7ac-a633be1c00bc,India,IND,2010,,,35.0090893635252,54.7948740551498,,,3.27211905,,0.47,,,16.5,2.6,48.0
30f02eee-b010-4885-a1bf-5ec98b9a55cf,India,IND,2011,,,,,,,3.24634194,9.0,0.63,,,17.0,2.5,
51e019a6-281f-4463-ac80-9744877534a9,India,IND,2012,,,,,,,3.32935309,,0.49,,,17.5,2.4,
55029eeb-5311-4e5a-ab62-6aefedbea067,India,IND,2013,,,,,,,3.74944162,,0.49,,,18.0,2.3,
9846618a-09b7-44d5-9a5b-936b179b2f95,India,IND,2014,,,,,,,3.61956549,,0.52,,,18.6,2.2,
6d6e5fe5-348d-4370-9452-b6a22d58760c,India,IND,2015,,,28.2602532026273,62.042953140371,,,3.59565997,,0.58,,,19.1,2.1,55.0
d0fb2f21-b113-44ef-9786-261963bda3d9,India,IND,2016,,,,,,,3.51098323,,0.48,,,19.7,2.1,
1a44d9dc-0151-47f8-a763-24d96fabc4c7,India,IND,2017,,,,,,,3.53500652,,0.53,,2.1079,,2.0,57.0
e8be888a-4a0f-47d0-858f-1c2662b83849,India,IND,2018,,,,,,,3.544245,,,,1.7271,,2.0,
6a7fd8b1-11fa-477b-9deb-4cc9be0433ef,India,IND,2019,,,24.166184366593,65.9332019454579,,,,,,,2.3885,,1.9,61.0
5b862ebf-4cd7-4535-b1b7-040a6f4b9b46,India,IND,2020,,,,,,,,,,,,,1.9,
