key,Country Name,Country Code,Year,"Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Net migration,"Population, female (% of total population)","Population, male (% of total population)","Population, total",Rural population,Rural population growth (annual %),Urban population,Urban population growth (annual %)
ff11e075-f083-4986-9489-2bb96fff8d6e,Canada,CAN,2005,77.9,80.1926829268293,,50.4250440542598,49.5749559457402,32243753.0,6409413.0,0.557844254173616,25834340.0,1.04061858829188
29fa7a28-12e1-4131-8509-0ba84b7bbad7,Canada,CAN,2006,78.1,80.3439024390244,,50.4150905888848,49.5849094111152,32571174.0,6444858.0,0.551491248878675,26126316.0,1.12384675481251
1b3780d5-42e1-429c-871d-9a57c88a9338,Canada,CAN,2007,78.3,80.5439024390244,1326431.0,50.4044557685291,49.5955442314709,32889025.0,6447564.0,0.0419781487099549,26441461.0,1.19901884209158
97c24a64-3474-402a-980a-bd2ebb8c385c,Canada,CAN,2008,78.5,80.6951219512195,,50.3948210128144,49.6051789871856,33247118.0,6457255.0,0.150191983656897,26789863.0,1.30902990520455
906846ca-7d6d-4874-86f9-11fbc022e4cb,Canada,CAN,2009,78.8,80.9951219512195,,50.3884108895213,49.6115891104787,33628895.0,6470872.0,0.210657043137183,27158023.0,1.36489394771959
10b27ba9-58e8-4d7e-8190-eebb510579b1,Canada,CAN,2010,79.1,81.2463414634146,,50.3864843544046,49.6135156455953,34004889.0,6482352.0,0.177253215195272,27522537.0,1.33326871439499
f0940ca8-8dba-4c70-b596-d7a232c98113,Canada,CAN,2011,79.4,81.4487804878049,,50.3897373751692,49.6102626248308,34339328.0,6491507.0,0.141129967876975,27847821.0,1.17495264216968
6af72be2-08a0-4d1c-b810-cd8405eebd1f,Canada,CAN,2012,79.6,81.6487804878049,1241416.0,50.3970917384501,49.6029082615499,34714222.0,6548144.0,0.868694356405575,28166078.0,1.13636233305053
c58b6de8-c630-410a-a528-9d478773b0aa,Canada,CAN,2013,79.7,81.7487804878049,,50.4058089554683,49.5941910445317,35082954.0,6603314.0,0.838999350897815,28479640.0,1.1071099946107
26561eb2-2466-4b13-92eb-a5d0c126f66c,Canada,CAN,2014,79.8,81.8,,50.4123054239784,49.5876945760216,35437435.0,6655859.0,0.792587517646634,28781576.0,1.05460141956621
