key,Country Name,Country Code,Year,"Labor force, female (% of total labor force)",Maternal leave benefits (% of wages paid in covered period),"Mortality rate attributed to household and ambient air pollution (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",People practicing open defecation (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),Poverty headcount ratio at national poverty line (% of population),"Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)"
9a543afa-d5b7-42ec-9add-ea3913acc521,Canada,CAN,2005,46.4192408180153,,,,0.0,99.23464422,99.80519484,78.8857635,,,6.46,7.01
7bda0f57-e3b5-4fc7-bf7c-d2d9209e59a2,Canada,CAN,2006,46.6740593393456,,,,0.0,99.23461957,99.75033789,79.28068911,,,6.09,6.52
72a8c54e-aab0-4b23-8f9d-bb6de7ba26d2,Canada,CAN,2007,46.8559603879221,,,,0.0,99.23549716,99.69595411,79.67517216,,,5.65,6.38
3deb762a-857f-40a0-a721-f33578eb346f,Canada,CAN,2008,46.8007942554184,,,,0.0,99.23607708,99.6414571,80.06894984,,,5.65,6.57
e6bd1fa5-feb5-4976-805d-2b70a92a740e,Canada,CAN,2009,47.0320471698496,40.0,,,0.0,99.23635504,99.5868457,80.46202275,,,7.01,9.53
73963532-79e6-400e-8913-dcd96b5ca159,Canada,CAN,2010,47.1342044913595,,,,0.0,99.23634886,99.53213067,80.85439848,,,7.23,8.79
f568b3dd-ae39-490e-8406-6c379cd03ad6,Canada,CAN,2011,47.092992876452,35.0,,,0.0,99.23589396,99.47721571,81.24600912,,,7.01,7.96
07fade71-8794-465b-ac1a-722077f52520,Canada,CAN,2012,47.2264634427111,,,,0.0,99.23432608,99.42171918,81.636549,,,6.82,7.71
eacfb1b9-f1a7-4423-abcc-46e7a22c821f,Canada,CAN,2013,47.3136274729582,37.0,,,0.0,99.23268617,99.36619078,82.02636889,,,6.6,7.5
f721f6d9-3422-4027-9ab7-b3a7553c5b2f,Canada,CAN,2014,47.1899157137796,,,,0.0,99.23098502,99.31064352,82.41547978,,,6.39,7.38
15cf2696-5d62-48f7-a922-4deebecae5ea,Canada,CAN,2015,47.0530941410076,55.0,,,0.0,99.22922139,99.25507123,82.80387768,,,6.29,7.46
68fdd54b-5505-45dd-a327-25f527aea3cc,Canada,CAN,2016,47.1730727072703,,7.0,0.4,0.0,99.22739547,99.19947682,83.1915656,,,6.24,7.68
1371b560-9411-4dd7-8c4c-7fb564552092,Canada,CAN,2017,47.2720671157327,55.0,,,0.0,99.22553764,99.14388406,83.5785755,,,5.85,6.78
ef639e5c-c5f3-4f17-8fe0-204ce74e3e91,Canada,CAN,2018,47.3633609013342,,,,0.0,99.22363119,99.08828896,83.97367373,,,5.49,6.14
a4f52be0-6dd8-4680-992c-d3a8126e2392,Canada,CAN,2019,47.2403161014984,,,,0.0,99.22164984,99.03268117,84.36813002,,,5.25,6.03
720f1412-092f-4c70-b354-31e531fb81c9,Canada,CAN,2020,,,,,0.0,99.22181066,99.03286158,84.36839322,,,,
31d0838a-5b90-4cc2-97eb-08fb8e63cab7,United States,USA,2005,45.7895841010875,,,,0.0,98.8536874,99.8817868,97.8283804,,,5.1,5.07
844c29a7-c637-4cfa-b5f4-242bb2e71d91,United States,USA,2006,45.7686889567768,,,,0.0,98.86083682,99.88154042,97.89264968,,,4.63,4.62
d8c81fe5-c003-4221-9c71-2ce827b3cd8b,United States,USA,2007,45.8278518391271,,,,0.0,98.86794461,99.88129549,97.95699817,,,4.5,4.73
3754de1e-abe4-4195-aa89-8269191ce7c6,United States,USA,2008,45.9726127208959,,,,0.0,98.87501291,99.8810546,98.02142764,,,5.42,6.1
2ce7e744-f83a-4ef7-9948-f888cb992340,United States,USA,2009,46.1763745407885,,,,0.0,98.88203953,99.88081511,98.08593485,,,8.06,10.28
5aa5d64c-4277-4555-bd0b-064a3dd594c6,United States,USA,2010,46.1839663657131,,,,0.0,98.97895208,99.86076619,98.13517396,,,8.61,10.51
af104c2e-2abd-4017-aaa1-bfb1e60644ca,United States,USA,2011,46.1151942879164,,,,0.0,99.07488707,99.84103269,98.18494766,,,8.46,9.37
b06889de-03a3-47a3-855b-47c63cd21fb6,United States,USA,2012,45.9403050128512,,,,0.0,99.16968809,99.82162867,98.2352578,,,7.89,8.22
041e0cb6-f8c7-4365-b9e6-75616da19213,United States,USA,2013,45.912403001954,,,,0.0,99.26337949,99.80256859,98.28612717,,,7.07,7.63
981d9128-74c9-4a26-8827-75d03704a217,United States,USA,2014,45.9645293051157,,,,0.0,99.35588121,99.78386084,98.33755989,,,6.06,6.26
196d014a-18a3-4f8b-bfd3-50202b3395dc,United States,USA,2015,45.8652664437359,,,,0.0,99.44715776,99.7655241,98.32452877,,,5.18,5.37
de7ddba0-a2c2-4e01-ad53-b07c33910bc3,United States,USA,2016,45.870842092589,,13.3,0.2,0.0,99.53713865,99.74755356,98.31176198,,,4.79,4.94
71fbe01c-dc11-42f3-ac7d-6039b4daaebd,United States,USA,2017,46.0255844715831,,,,0.0,99.62581578,99.72996764,98.29928582,,,4.31,4.4
f6f36289-3ed0-45bc-bfdf-5c2f9d55f571,United States,USA,2018,46.0599776445238,,,,0.0,99.71312112,99.71277377,98.28709462,,,3.84,3.95
ccdd1c44-7309-4bfe-9ec4-c2753fe511d3,United States,USA,2019,46.1636267893611,,,,0.0,99.79904438,99.69599445,98.27522266,,,3.61,3.72
0a92ba28-1edc-44e5-b0cc-ffd5432caf6a,United States,USA,2020,,,,,0.0,99.88352668,99.67961928,98.26364733,,,,
f7e7da0c-d886-480e-8c1a-47bb65c58176,Mexico,MEX,2005,35.4371888060852,,,,6.910224385,93.09668937,81.27377788,23.87717464,,,3.91,3.37
1a803a42-a452-4274-aaed-4f3d005a2209,Mexico,MEX,2006,36.0214059369911,,,,6.413280454,93.71099729,82.07830717,25.87350566,,,3.89,3.38
8ec600f5-069a-4840-9c59-52d347852602,Mexico,MEX,2007,36.309000319785,,,,5.923779375,94.32032157,82.87293106,27.90436423,,,4.0,3.42
e36e3a08-0060-4472-af38-9c4fe9616f19,Mexico,MEX,2008,36.3516317303069,,,,5.441312933,94.90809059,83.65830449,29.96951033,,,4.04,3.78
2094f268-5a6d-41af-a238-2c7dbe021628,Mexico,MEX,2009,36.8413046587202,100.0,,,4.966066408,95.36710258,84.43419231,32.0685671,,,5.35,5.36
2f308613-db10-4996-b35d-f6aab999e5b2,Mexico,MEX,2010,36.8175346220517,,,,4.497791888,95.82133427,85.20102819,34.20129298,,,5.18,5.37
d1f8814c-2016-437e-93e2-052ffb7bbed9,Mexico,MEX,2011,37.0775147742392,100.0,,,4.035972895,96.27120298,85.95971004,36.3676703,89.66001526,,5.13,5.19
aec0489c-4f85-4ee5-b9de-cea5e22326b8,Mexico,MEX,2012,37.564677356127,,,,3.58092129,96.71644433,86.70980432,38.56730401,89.68317442,,4.88,4.89
3491c703-497e-42b0-9af3-cda80536fe76,Mexico,MEX,2013,37.704092951183,100.0,,,3.132406947,97.15725463,87.45178303,40.80011597,89.70633655,,4.96,4.89
b8f9bda7-d3d8-42cd-bd1a-67cd435fa353,Mexico,MEX,2014,37.2437515782207,,,,2.69042959,97.5936259,88.18573213,43.06591674,89.72949429,,4.85,4.79
aa3a887a-605d-4717-b45f-24e7d8bfc361,Mexico,MEX,2015,37.4797332378036,100.0,,,2.255108509,98.02544354,88.91148404,45.36435171,89.75249473,,4.45,4.23
14df99a4-debe-4aa2-affb-29447a18e210,Mexico,MEX,2016,37.5732614175485,,36.7,1.1,1.826280678,98.45286453,89.62944687,47.69541008,89.77550185,,3.91,3.83
41eb123f-686a-4e38-812b-3914f065a30c,Mexico,MEX,2017,37.4090985794429,100.0,,,1.404019929,98.87578129,90.33947554,50.0587208,89.79834169,,3.6,3.31
a12627c5-92c9-492b-b42b-dc82422f6b68,Mexico,MEX,2018,37.6997912501247,,,,0.988233853,99.26913243,91.04184497,52.45421467,89.82111114,41.9,3.43,3.2
e654ed7e-04f7-49da-bb16-46ab76093852,Mexico,MEX,2019,38.4887399422183,,,,0.351365143,99.47726394,91.73666093,54.88172246,89.84379235,,3.52,3.46
421628f3-3ccc-46dd-9f0b-22b00491c819,Mexico,MEX,2020,,,,,0.096456614,99.67956828,92.42406261,57.34110284,,43.9,,
