Education_key,female_literacy_rate,male_literacy_rate,adult_literacy_rate,primary_completion_rate_total,public_education_spending,primary_school_enrollment,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment,secondary_school_enrollment_female,secondary_school_enrollment_male,tertiary_school_enrollment
0,99.0,99.0,99.0,98.0,4.765880108,97.36457062,96.93871307,97.77118683,101.3911896,100.2343826,102.4870605,63.111279298
1,99.0,99.0,99.0,98.0,4.8710720062,98.88063049,98.50982666,99.23444366,101.7282486,100.6695023,102.7323608,63.111279298
2,99.0,99.0,99.0,98.0,4.766409874,98.96647644,98.72110748,99.20018768,101.9034882,100.7483673,103.0018997,63.60005951
3,99.0,99.0,99.0,98.0,4.62612009,98.01331329,97.92086029,98.10118103,102.3444366,101.104248,103.5259323,63.76739883
4,99.0,99.0,99.0,98.0,4.840579987,99.00879669,99.08512878,98.93639374,102.7344437,101.5036087,103.9080811,63.0657692
5,99.0,99.0,99.0,98.0,5.356369972,98.64160156,98.90505981,98.39224243,102.3984833,101.1566925,103.5829773,61.65584946
6,99.0,99.0,99.0,98.0,5.262050152,98.1893692,98.54882813,97.84992981,103.3489609,102.2668762,104.3807678,63.46731949
7,99.0,99.0,99.0,98.0,4.970306015,99.51828003,100.0669785,99.0009079,109.9874878,109.8560715,110.1125031,63.98077011
8,99.0,99.0,99.0,98.0,4.970306015,100.3407135,100.9137268,99.80014801,109.4859924,109.6153183,109.363327,65.33229828
9,99.0,99.0,99.0,99.5,4.970306015,101.5366592,102.1586838,100.9486923,109.3330994,109.6512222,109.0323029,65.61290741
10,99.0,99.0,99.0,99.5,4.970306015,102.4850769,102.907959,102.0841522,110.3565292,110.8576202,109.8839493,64.78695679
11,99.0,99.0,99.0,102.5,4.970306015,101.0238724,101.0684662,100.9814529,112.5142822,113.3864594,111.6930923,66.43917847
12,99.0,99.0,99.0,102.5,4.970306015,100.9436798,100.8191376,101.062439,113.7628632,114.5206375,113.0466766,68.92250824
13,99.0,99.0,99.0,102.5,4.970306015,101.501091,101.2753983,101.7166214,114.1235123,114.7476807,113.5315323,70.11302185
