Event_key,country,start_year,start_month,start_day,end_year,end_month,end_day,event_type,total_affected,total_deaths
0,Bangladesh,2005,1.0,6.0,2005,1.0,6.0,Industrial accident,50.0,22.0
1,Bangladesh,2005,2.0,19.0,2005,2.0,19.0,Transport accident,149.0,149.0
2,Bangladesh,2005,3.0,31.0,2005,3.0,31.0,Storm,10500.0,24.0
3,Bangladesh,2005,4.0,11.0,2005,4.0,11.0,Industrial accident,100.0,151.0
4,Bangladesh,2005,5.0,6.0,2005,5.0,6.0,Storm,1500.0,11.0
5,Bangladesh,2005,6.0,30.0,2005,6.0,30.0,Storm,35.0,35.0
6,Bangladesh,2005,7.0,7.0,2005,7.0,27.0,Flood,1000000.0,23.0
7,Bangladesh,2005,8.0,5.0,2005,8.0,5.0,Transport accident,27.0,27.0
8,Bangladesh,2005,9.0,20.0,2005,9.0,20.0,Storm,12000.0,16.0
9,Bangladesh,2005,10,2,2005,10,2,Bombing/Explosion,3.0,2.0
10,Bangladesh,2006,1.0,13.0,2006,1.0,13.0,Transport accident,6.0,18.0
11,Bangladesh,2006,2.0,1.0,2006,2.0,1.0,Miscellaneous accident,7528.0,0.0
12,Bangladesh,2006,3.0,4.0,2006,3.0,4.0,Storm,5899.0,4.0
13,Bangladesh,2006,4.0,21.0,2006,4.0,21.0,Transport accident,10.0,35.0
14,Bangladesh,2006,7.0,11.0,2006,7.0,11.0,Transport accident,30.0,32.0
15,Bangladesh,2006,8.0,24.0,2006,9.0,20.0,Flood,135775.0,0.0
16,Bangladesh,2006,10.0,23.0,2006,10.0,23.0,Transport accident,60.0,60.0
17,Bangladesh,2007,1.0,6.0,2007,1.0,6.0,Transport accident,14.0,41.0
18,Bangladesh,2007,5.0,15.0,2007,5.0,15.0,Storm,225.0,41.0
19,Bangladesh,2007,6.0,11.0,2007,6.0,12.0,Flood,80060.0,120.0
20,Bangladesh,2007,7.0,30.0,2007,10.0,9.0,Epidemic,48352.0,32.0
21,Bangladesh,2007,11.0,24.0,2007,11.0,24.0,Miscellaneous accident,100.0,24.0
22,Bangladesh,2008,2.0,28.0,2008,2.0,28.0,Transport accident,39.0,39.0
23,Bangladesh,2008,3.0,22.0,2008,3.0,22.0,Storm,200.0,12.0
24,Bangladesh,2008,6.0,26.0,2008,7.0,13.0,Flood,20002.0,16.0
25,Bangladesh,2008,8.0,16.0,2008,8.0,16.0,Landslide,50.0,13.0
26,Bangladesh,2008,10.0,27.0,2008,10.0,27.0,Storm,200.0,15.0
27,Bangladesh,2009,2.0,19.0,2009,2.0,19.0,Transport accident,37.0,37.0
28,Bangladesh,2009,4.0,19.0,2009,4.0,20.0,Storm,19209.0,7.0
29,Bangladesh,2009,5.0,25.0,2009,5.0,26.0,Storm,3935341.0,190.0
30,Bangladesh,2009,7.0,29.0,2009,7.0,29.0,Flood,10.0,10.0
31,Bangladesh,2009,10.0,24.0,2009,10.0,24.0,Transport accident,14.0,14.0
32,Bangladesh,2009,11.0,27.0,2009,11.0,27.0,Transport accident,91.0,91.0
33,Bangladesh,2009,12.0,4.0,2009,12.0,4.0,Transport accident,53.0,53.0
34,Bangladesh,2010,1.0,1.0,2010,1.0,1.0,Transport accident,47.0,17.0
