Fact_key,population_key,country_key,month_key,education_key,health_key,quality_of_life_key,event_key,avg_births,avg_deaths,HDI
0,16,1,1,16,16,16,752,4135332.000000001,2452624.0,0.9
1,32,2,1,32,32,32,588,2309140.0,509041.0,0.737
2,48,3,1,48,48,48,409,27656029.0,9268690.0,0.536
3,64,4,1,64,64,64,233,17089922.0,8961495.0,0.64
4,80,5,1,80,80,80,705,1165194.0,283447.0,0.437
5,96,6,1,94,96,96,0,3334617.0,860511.0000000001,0.514
6,112,7,1,110,112,112,102,3206294.0000000005,1122293.9999999998,0.7
7,16,1,2,16,16,16,753,4135332.000000001,2452624.0,0.9
8,48,3,2,48,48,48,410,27656029.0,9268690.0,0.536
9,64,4,2,64,64,64,234,17089922.0,8961495.0,0.64
10,96,6,2,94,96,96,1,3334617.0,860511.0000000001,0.514
11,16,1,3,16,16,16,754,4135332.000000001,2452624.0,0.9
12,48,3,3,48,48,48,411,27656029.0,9268690.0,0.536
13,64,4,3,64,64,64,235,17089922.0,8961495.0,0.64
14,96,6,3,94,96,96,2,3334617.0,860511.0000000001,0.514
15,16,1,4,16,16,16,755,4135332.000000001,2452624.0,0.9
16,32,2,4,32,32,32,589,2309140.0,509041.0,0.737
17,48,3,4,48,48,48,412,27656029.0,9268690.0,0.536
18,64,4,4,64,64,64,236,17089922.0,8961495.0,0.64
19,96,6,4,94,96,96,3,3334617.0,860511.0000000001,0.514
20,0,0,5,0,0,0,190,347838.0,231303.0,0.894
21,16,1,5,16,16,16,756,4135332.000000001,2452624.0,0.9
22,32,2,5,32,32,32,590,2309140.0,509041.0,0.737
23,48,3,5,48,48,48,413,27656029.0,9268690.0,0.536
24,64,4,5,64,64,64,237,17089922.0,8961495.0,0.64
25,96,6,5,94,96,96,4,3334617.0,860511.0000000001,0.514
26,112,7,5,110,112,112,103,3206294.0000000005,1122293.9999999998,0.7
27,0,0,6,0,0,0,191,347838.0,231303.0,0.894
28,32,2,6,32,32,32,591,2309140.0,509041.0,0.737
29,48,3,6,48,48,48,414,27656029.0,9268690.0,0.536
30,64,4,6,64,64,64,238,17089922.0,8961495.0,0.64
31,96,6,6,94,96,96,5,3334617.0,860511.0000000001,0.514
32,112,7,6,110,112,112,104,3206294.0000000005,1122293.9999999998,0.7
33,0,0,7,0,0,0,191,347838.0,231303.0,0.894
34,16,1,7,16,16,16,757,4135332.000000001,2452624.0,0.9
35,32,2,7,32,32,32,592,2309140.0,509041.0,0.737
36,48,3,7,48,48,48,415,27656029.0,9268690.0,0.536
37,64,4,7,64,64,64,239,17089922.0,8961495.0,0.64
38,96,6,7,94,96,96,6,3334617.0,860511.0000000001,0.514
39,16,1,8,16,16,16,758,4135332.000000001,2452624.0,0.9
40,32,2,8,32,32,32,593,2309140.0,509041.0,0.737
41,48,3,8,48,48,48,416,27656029.0,9268690.0,0.536
42,64,4,8,64,64,64,240,17089922.0,8961495.0,0.64
43,96,6,8,94,96,96,7,3334617.0,860511.0000000001,0.514
44,0,0,9,0,0,0,192,347838.0,231303.0,0.894
45,16,1,9,16,16,16,759,4135332.000000001,2452624.0,0.9
46,32,2,9,32,32,32,594,2309140.0,509041.0,0.737
47,48,3,9,48,48,48,417,27656029.0,9268690.0,0.536
48,64,4,9,64,64,64,241,17089922.0,8961495.0,0.64
49,96,6,9,94,96,96,8,3334617.0,860511.0000000001,0.514
50,112,7,9,110,112,112,105,3206294.0000000005,1122293.9999999998,0.7
51,16,1,10,16,16,16,760,4135332.000000001,2452624.0,0.9
52,32,2,10,32,32,32,595,2309140.0,509041.0,0.737
53,48,3,10,48,48,48,418,27656029.0,9268690.0,0.536
54,64,4,10,64,64,64,242,17089922.0,8961495.0,0.64
55,96,6,10,94,96,96,9,3334617.0,860511.0000000001,0.514
56,0,0,11,0,0,0,193,347838.0,231303.0,0.894
57,48,3,11,48,48,48,419,27656029.0,9268690.0,0.536
58,64,4,11,64,64,64,243,17089922.0,8961495.0,0.64
59,17,1,13,17,17,17,762,4151205.0,2452720.0,0.903
60,49,3,13,49,49,49,421,27466953.0,9274141.0,0.546
61,65,4,13,65,65,65,245,17144153.000000004,9068628.0,0.653
62,97,6,13,95,97,97,10,3287685.0,856718.9999999999,0.521
63,113,7,13,111,113,113,106,3148993.0,1132072.0,0.702
64,33,2,14,33,33,33,596,2299717.0,524807.0,0.745
65,49,3,14,49,49,49,422,27466953.0,9274141.0,0.546
66,65,4,14,65,65,65,246,17144153.000000004,9068628.0,0.653
67,97,6,14,95,97,97,11,3287685.0,856718.9999999999,0.521
68,17,1,15,17,17,17,763,4151205.0,2452720.0,0.903
69,49,3,15,49,49,49,423,27466953.0,9274141.0,0.546
70,65,4,15,65,65,65,247,17144153.000000004,9068628.0,0.653
71,97,6,15,95,97,97,12,3287685.0,856718.9999999999,0.521
72,1,0,16,1,1,1,194,355440.0,233707.0,0.898
73,17,1,16,17,17,17,764,4151205.0,2452720.0,0.903
74,33,2,16,33,33,33,597,2299717.0,524807.0,0.745
75,49,3,16,49,49,49,424,27466953.0,9274141.0,0.546
76,65,4,16,65,65,65,248,17144153.000000004,9068628.0,0.653
77,81,5,16,81,81,81,706,1178972.0,283164.0,0.443
78,97,6,16,95,97,97,13,3287685.0,856718.9999999999,0.521
79,113,7,16,111,113,113,107,3148993.0,1132072.0,0.702
80,1,0,17,1,1,1,195,355440.0,233707.0,0.898
81,17,1,17,17,17,17,765,4151205.0,2452720.0,0.903
82,49,3,17,49,49,49,425,27466953.0,9274141.0,0.546
83,65,4,17,65,65,65,249,17144153.000000004,9068628.0,0.653
84,17,1,18,17,17,17,766,4151205.0,2452720.0,0.903
85,49,3,18,49,49,49,426,27466953.0,9274141.0,0.546
86,65,4,18,65,65,65,250,17144153.000000004,9068628.0,0.653
87,17,1,19,17,17,17,767,4151205.0,2452720.0,0.903
88,49,3,19,49,49,49,427,27466953.0,9274141.0,0.546
89,65,4,19,65,65,65,251,17144153.000000004,9068628.0,0.653
90,97,6,19,95,97,97,14,3287685.0,856718.9999999999,0.521
91,17,1,20,17,17,17,768,4151205.0,2452720.0,0.903
92,33,2,20,33,33,33,598,2299717.0,524807.0,0.745
