Country,Country Code,Year,Deaths (thousands)
Canada,CAN,2005,231303.0
Canada,CAN,2006,233707.0
Canada,CAN,2007,236332.0
Canada,CAN,2008,239188.0
Canada,CAN,2009,242319.00000000003
Canada,CAN,2010,245824.0
Canada,CAN,2011,249808.0
Canada,CAN,2012,254288.0
Canada,CAN,2013,259220.00000000003
Canada,CAN,2014,264522.0
Canada,CAN,2015,270034.0
Canada,CAN,2016,275559.0
Canada,CAN,2017,280932.0
Canada,CAN,2018,286042.00000000006
Canada,CAN,2019,290851.0
United States,USA,2005,2452624.0
United States,USA,2006,2452720.0
United States,USA,2007,2454780.0
United States,USA,2008,2460957.0000000005
United States,USA,2009,2472735.0
United States,USA,2010,2491627.9999999995
United States,USA,2011,2518582.0000000005
United States,USA,2012,2552880.0
United States,USA,2013,2593448.0
United States,USA,2014,2639460.0
United States,USA,2015,2689897.9999999995
United States,USA,2016,2743600.0
United States,USA,2017,2799028.0
United States,USA,2018,2854587.9999999995
United States,USA,2019,2908935.9999999995
Mexico,MEX,2005,509041.0
Mexico,MEX,2006,524807.0
Mexico,MEX,2007,542362.0
Mexico,MEX,2008,561084.0000000001
Mexico,MEX,2009,580568.0
Mexico,MEX,2010,600498.0
Mexico,MEX,2011,620690.0
Mexico,MEX,2012,641077.0
Mexico,MEX,2013,661526.0000000001
Mexico,MEX,2014,681794.0
Mexico,MEX,2015,701655.0
Mexico,MEX,2016,720954.0
Mexico,MEX,2017,739682.0
Mexico,MEX,2018,757839.0
Mexico,MEX,2019,775383.0
India,IND,2005,9268690.0
India,IND,2006,9274141.0
India,IND,2007,9270693.000000002
India,IND,2008,9260293.0
India,IND,2009,9246261.999999998
India,IND,2010,9234633.0
India,IND,2011,9232758.0
India,IND,2012,9247269.0
India,IND,2013,9283073.0
India,IND,2014,9342487.0
India,IND,2015,9425874.0
India,IND,2016,9531107.0
India,IND,2017,9652529.0
India,IND,2018,9785017.0
India,IND,2019,9925987.0
China,CHN,2005,8961495.0
China,CHN,2006,9068628.0
China,CHN,2007,9178059.000000002
China,CHN,2008,9285959.0
China,CHN,2009,9390293.0
China,CHN,2010,9487120.0
China,CHN,2011,9572810.0
China,CHN,2012,9648988.000000002
China,CHN,2013,9719889.000000002
China,CHN,2014,9790778.0
China,CHN,2015,9870603.000000002
China,CHN,2016,9969554.0
China,CHN,2017,10095026.0
China,CHN,2018,10251618.0
China,CHN,2019,10440709.0
Sudan,SDN,2005,283447.0
Sudan,SDN,2006,283164.0
Sudan,SDN,2007,282711.0
Sudan,SDN,2008,282188.0
Sudan,SDN,2009,281743.0
Sudan,SDN,2010,281577.0
Sudan,SDN,2011,281895.99999999994
Sudan,SDN,2012,282818.0
Sudan,SDN,2013,284413.0
Sudan,SDN,2014,286705.0
Sudan,SDN,2015,289654.0
Sudan,SDN,2016,293152.0
Sudan,SDN,2017,297015.0
Sudan,SDN,2018,301084.0
Sudan,SDN,2019,305278.0
Bangladesh,BGD,2005,860511.0000000001
Bangladesh,BGD,2006,856718.9999999999
Bangladesh,BGD,2007,853135.0
Bangladesh,BGD,2008,850210.0
Bangladesh,BGD,2009,848154.0
Bangladesh,BGD,2010,847310.0
Bangladesh,BGD,2011,848036.0
Bangladesh,BGD,2012,850464.0
Bangladesh,BGD,2013,854590.0
Bangladesh,BGD,2014,860311.0
Bangladesh,BGD,2015,867334.0
Bangladesh,BGD,2016,875248.0
Bangladesh,BGD,2017,883623.0
Bangladesh,BGD,2018,892145.0
Bangladesh,BGD,2019,900691.0
Brazil,BRA,2005,1122293.9999999998
Brazil,BRA,2006,1132072.0
Brazil,BRA,2007,1142819.0
Brazil,BRA,2008,1154756.0
Brazil,BRA,2009,1168041.0000000002
Brazil,BRA,2010,1182792.0
Brazil,BRA,2011,1199050.0
Brazil,BRA,2012,1216729.0
Brazil,BRA,2013,1235745.0
Brazil,BRA,2014,1256073.9999999998
Brazil,BRA,2015,1277738.0
Brazil,BRA,2016,1300768.0
Brazil,BRA,2017,1325105.0
Brazil,BRA,2018,1350630.0
Brazil,BRA,2019,1377193.0
Niger,NER,2005,195798.0
Niger,NER,2006,194532.0
Niger,NER,2007,192999.00000000003
Niger,NER,2008,191328.0
Niger,NER,2009,189629.00000000003
Niger,NER,2010,188013.0
Niger,NER,2011,186574.0
Niger,NER,2012,185374.00000000003
Niger,NER,2013,184484.0
Niger,NER,2014,183974.00000000003
Niger,NER,2015,183921.0
Niger,NER,2016,184376.0
Niger,NER,2017,185300.0
Niger,NER,2018,186634.0
Niger,NER,2019,188328.0
