key,female_life_expectancy,male_life_expectancy,total_life_expectancy,net_Migration,population_growth,female_population,male_population,total_population,rural_population_percentage,rural_population_growth,urban_population_percentage,urban_population_growth
0,82.6,77.9,80.19268293,1259335.3333333333,0.944466927,50.42504405,49.57495595,32243753.0,6409413.0,0.557844254,25834340.0,1.040618588
1,82.7,78.1,80.34390244,1259335.3333333333,1.010334503,50.41509059,49.58490941,32571174.0,6444858.0,0.551491249,26126316.0,1.123846755
2,82.9,78.3,80.54390244,1326431.0,0.971135141,50.40445577,49.59554423,32889025.0,6447564.0,0.041978149,26441461.0,1.199018842
3,83.0,78.5,80.69512195,1259335.3333333333,1.082907116,50.39482101,49.60517899,33247118.0,6457255.0,0.150191984,26789863.0,1.309029905
4,83.3,78.8,80.99512195,1259335.3333333333,1.141758099,50.38841089,49.61158911,33628895.0,6470872.0,0.210657043,27158023.0,1.364893948
5,83.5,79.1,81.24634146,1259335.3333333333,1.111864075,50.38648435,49.61351565,34004889.0,6482352.0,0.177253215,27522537.0,1.333268714
6,83.6,79.4,81.44878049,1259335.3333333333,0.978697787,50.38973738,49.61026262,34339328.0,6491507.0,0.141129968,27847821.0,1.174952642
7,83.8,79.6,81.64878049,1241416.0,1.085817263,50.39709174,49.60290826,34714222.0,6548144.0,0.868694356,28166078.0,1.136362333
8,83.9,79.7,81.74878049,1259335.3333333333,1.056591259,50.40580896,49.59419104,35082954.0,6603314.0,0.838999351,28479640.0,1.107109995
9,83.9,79.8,81.8,1259335.3333333333,1.005337579,50.41230542,49.58769458,35437435.0,6655859.0,0.792587518,28781576.0,1.05460142
10,84.0,79.9,81.9,1259335.3333333333,0.746339478,50.41412656,49.58587344,35702908.0,6691082.0,0.527807559,29011826.0,0.796807975
11,84.0,79.9,81.9,1259335.3333333333,1.132348655,50.41056603,49.58943397,36109487.0,6752474.0,0.913336126,29357013.0,1.182792155
12,84.0,79.9,81.9,1210159.0,1.199682154,50.40256216,49.59743784,36545295.0,6815698.0,0.931952478,29729597.0,1.261162007
13,84.2,80.0,82.04878049,1259335.3333333333,1.412548033,50.39152995,49.60847005,37065178.0,6890046.0,1.084928031,30175132.0,1.487505987
14,84.2,80.0,82.04878049,1259335.3333333333,1.4150147,50.37951633,49.62048367,37593384.0,6961543.0,1.032338383,30631841.0,1.502188206
15,84.08,79.94000000000001,81.95951219599999,1259335.3333333333,1.089591487,50.36802481,49.63197519,38005238.0,7007406.0,0.656644459,30997832.0,1.187724304
16,80.1,75.0,77.48780488,5054833.666666667,0.921713167,50.65380201,49.34619799,295516599.0,59316092.0,0.073389815,236200507.0,1.135884591
17,80.3,75.2,77.68780488,5054833.666666667,0.964253917,50.64389646,49.35610354,298379912.0,59380586.0,0.10867028,238999326.0,1.17796816
18,80.6,75.5,77.98780488,5428756.0,0.951055243,50.63678471,49.36321529,301231207.0,59435929.0,0.09315709,241795278.0,1.163067761
19,80.6,75.6,78.03902439,5054833.666666667,0.945865287,50.6307101,49.3692899,304093966.0,59486862.0,0.085657262,244607104.0,1.156185671
20,80.9,76.0,78.3902439,5054833.666666667,0.876651299,50.62334814,49.37665186,306771529.0,59495270.0,0.014133215,247276259.0,1.085290294
21,81.0,76.2,78.54146341,5054833.666666667,0.829616675,50.61318905,49.38681095,309327143.0,59477423.0,-0.030001843,249849720.0,1.035344801
22,81.1,76.3,78.64146341,5054833.666666667,0.726786705,50.59960338,49.40039662,311583481.0,59375348.0,-0.171767178,252208133.0,0.939505411
